champion,kills,deaths,assists,gold,damage,win,duration
Quinn,4,12,4,9592,65615,0,819
Nasus,1,9,3,13449,137991,0,1565
Chogath,10,8,2,14498,82551,0,1565
Samira,17,13,6,20502,298853,0,2671
Soraka,2,7,19,12100,58719,0,2671
Varus,8,9,10,13510,119011,1,1083
Brand,6,6,15,13940,140030,1,1083
Samira,12,8,2,13669,116765,0,1540
Samira,14,16,7,13928,112502,0,1697
Malphite,3,11,16,8425,56530,0,1697
Draven,15,12,16,19021,340233,1,2342
Taric,9,9,47,14750,77555,1,2342
JarvanIV,9,9,16,13211,242014,0,2056
Soraka,3,10,20,9749,23902,0,2056
JarvanIV,9,1,4,10208,185196,1,1358
Lulu,1,2,12,6542,23915,1,1358
Warwick,8,9,4,10851,188312,0,1743
Lux,2,5,10,8824,67821,0,1743
Kindred,11,14,13,14173,78962,1,1249
Viktor,12,11,10,21829,218213,1,1249
Garen,8,3,2,10415,76326,1,1211
Darius,1,3,5,8111,29987,1,1211
Darius,8,11,5,18376,130029,0,1869
Sion,6,11,9,18851,129917,0,1869
Ambessa,9,3,13,12284,91639,1,922
Chogath,11,0,14,15017,135807,1,922
Blitzcrank,3,8,9,9540,20879,0,1027
Vex,10,7,4,13776,118891,0,1027
Gangplank,4,14,3,12656,108938,0,991
Pantheon,10,12,6,13566,85216,0,991
Evelynn,7,4,5,12256,63159,1,1022
Soraka,2,3,17,11291,42521,1,1022
KogMaw,1,5,1,8682,57899,1,837
Zoe,6,7,3,10606,77470,1,837
Teemo,8,6,14,14514,86209,1,1267
Singed,10,4,14,15555,99751,1,1267
Akali,7,11,24,13715,72975,0,1338
Pantheon,14,11,12,14586,54887,0,1338
Swain,5,12,27,13487,92478,0,1338
Gragas,7,15,22,11539,55013,0,1163
Urgot,16,12,21,15460,104377,0,1163
Veigar,11,12,15,12659,73175,0,1163
Mordekaiser,8,4,12,10786,50826,1,869
Akshan,14,7,19,12863,69583,1,869
Janna,3,2,31,9450,16361,1,869
Talon,7,9,3,12123,66050,0,988
Corki,11,9,2,12216,93447,0,988
Brand,3,10,6,9945,54064,0,988
Volibear,2,10,4,13923,118137,1,1108
Aurora,5,5,5,13582,133035,1,1108
Pantheon,4,10,1,12064,91754,1,1108
Shyvana,7,11,4,14100,98444,0,1097
Quinn,6,11,13,12698,63721,0,1097
Vex,9,8,9,15265,132026,0,1097
Garen,7,10,8,13080,78590,0,1128
DrMundo,7,6,14,14110,164997,0,1128
Lucian,3,9,5,13148,105500,0,1128
Aatrox,7,6,7,15080,97526,1,1148
Vladimir,14,8,11,15532,159034,1,1148
Velkoz,8,11,6,15025,116784,1,1148
Teemo,2,1,1,7287,33635,1,499
Illaoi,2,1,0,6843,42356,1,499
Janna,0,0,4,6081,25252,1,499
Karthus,4,10,7,13652,114542,1,1132
Ziggs,5,5,5,13851,154072,1,1132
Milio,7,4,7,12424,64256,1,1132
Ahri,2,2,4,7648,38136,0,655
Varus,0,6,2,6231,39338,0,655
Karma,3,3,2,6661,31574,0,655
Udyr,7,13,8,14142,118145,0,1308
Warwick,16,14,11,17582,126172,0,1308
Malphite,4,12,9,14570,108039,1,1346
Zoe,13,6,11,18246,139980,1,1346
Zilean,1,4,20,12336,43735,1,1231
Orianna,6,5,12,15839,221571,1,1231
Xayah,10,3,5,16132,184877,1,1140
Malphite,3,7,14,11640,57972,1,1140
Shyvana,4,6,4,10353,77434,1,830
Ivern,1,1,7,8436,37044,1,830
Janna,2,7,27,13847,75284,1,1298
JarvanIV,15,6,19,19762,207232,1,1298
Mordekaiser,6,3,5,11716,78117,1,977
Pantheon,12,3,8,14201,127047,1,977
Shyvana,5,11,5,12180,78817,0,1038
Vladimir,8,7,9,14322,147439,0,1038
Cassiopeia,3,6,5,5599,21243,0,581
Yorick,2,4,7,6514,26819,0,581
Vex,2,12,7,11802,93191,0,1132
Mel,12,5,1,14956,131967,0,1132
Lillia,1,6,6,10314,67953,1,1028
Draven,12,3,4,16615,182278,1,1028
Volibear,13,5,9,16229,345448,1,1949
Brand,2,5,11,9676,57548,1,781
Xerath,13,1,12,11680,87474,1,781
Morgana,3,11,35,15372,69852,1,1399
Draven,30,14,9,23925,311704,1,1399
Veigar,15,2,7,21160,278148,1,1463
Poppy,3,6,3,13901,32898,1,1463
Veigar,5,2,2,10548,98457,0,1133
Poppy,1,4,6,9310,25534,0,1133
Janna,2,0,11,6990,16523,1,667
Veigar,13,0,5,11738,108766,1,667
Zac,0,11,21,14500,88652,1,1440
Viktor,21,4,3,25405,394252,1,1440
Caitlyn,16,4,4,13235,76521,1,924
Viktor,6,4,17,14956,148632,1,924
AurelionSol,5,10,9,10353,55265,0,908
Singed,5,8,10,10279,58053,0,908
Taliyah,7,7,14,12520,70516,0,999
JarvanIV,26,6,3,16397,88654,0,999
Aatrox,8,2,11,13125,82427,1,1012
Gragas,13,5,8,14965,125668,1,1012
Maokai,6,4,10,14121,86437,1,1144
Akshan,12,5,8,16197,152105,1,1144
Aurora,6,4,2,15891,149636,0,1166
Sivir,0,8,1,12405,108194,1,1048
Viktor,14,6,5,17219,134407,1,1048
Malphite,14,8,3,16492,115904,0,1214
Pantheon,12,8,5,15570,126026,0,1214
Yasuo,7,5,9,14048,108966,1,1158
Bard,17,2,15,16161,129609,1,1158
Blitzcrank,13,9,8,15172,69909,1,1372
Yone,16,4,13,21236,251901,1,1372
Kindred,8,11,10,15886,147905,0,1339
Volibear,18,11,8,22123,234826,0,1339
Lillia,4,5,8,13031,78730,1,1153
TwistedFate,16,3,14,18906,201390,1,1153
Renata,3,9,14,10748,52177,0,1126
Lux,8,7,4,14823,136073,0,1126
Kindred,11,9,5,12054,101136,0,944
Shyvana,3,8,7,11428,108312,0,944
Neeko,4,8,9,11519,70025,0,944
Ezreal,3,9,3,12462,82867,0,1150
Ziggs,10,7,3,19693,167683,0,1150
Ashe,2,9,10,10714,58853,0,1150
Ziggs,4,11,5,12962,117664,0,1058
Malphite,14,8,8,15093,98241,0,1058
MissFortune,1,12,9,10103,73529,0,1058
Nasus,2,12,9,16374,128154,1,1261
Chogath,25,4,12,19402,236823,1,1261
Anivia,8,4,9,15700,114382,1,1261
Pyke,4,6,8,12637,36839,1,1322
Urgot,19,3,6,21452,245977,1,1322
Malphite,8,10,6,14535,114583,1,1322
Zoe,3,9,11,11200,50830,1,1019
Veigar,19,5,4,16235,188135,1,1019
Swain,6,10,13,12567,91488,1,1019
Sivir,3,11,7,12521,126994,0,1060
Aurora,6,11,7,11889,110835,0,1060
Maokai,4,12,8,10010,55915,0,1060
Volibear,19,6,10,18237,215674,1,1126
Malzahar,4,14,13,11839,62953,1,1126
Samira,15,5,3,16721,181240,1,1807
Nami,0,3,20,8247,35105,1,1807
Viktor,15,1,6,14628,134863,1,850
TahmKench,7,1,8,11806,81927,1,1701
Rengar,3,11,3,15467,113042,0,1448
Heimerdinger,7,8,12,18547,193068,0,1448
Leblanc,2,5,0,8688,58448,1,685
DrMundo,17,1,6,11039,81429,1,685
Ashe,9,14,18,18912,163915,0,1588
Zeri,14,5,9,21168,-2147483648,0,1588
Urgot,7,1,0,8442,83487,1,967
Volibear,14,1,12,15380,284926,1,1739
Kayn,6,3,17,12483,273055,1,1822
KogMaw,20,6,7,19619,282697,0,2379
TahmKench,19,10,17,20710,210086,0,1922
TahmKench,17,3,9,12650,66298,1,887
Pyke,16,3,14,11135,46776,1,876
Quinn,13,8,11,12952,116207,0,1038
Shyvana,13,5,3,17430,240577,1,1197
Smolder,33,4,15,23079,306434,1,1220
Lillia,17,2,9,19601,239724,1,1290
Lucian,8,5,9,12668,102978,1,985
Kayn,2,8,1,5867,22709,0,611
Yorick,4,6,5,13303,215779,1,1918
Kayn,10,1,15,16078,362480,1,1918
Zoe,17,12,6,15011,79630,0,1182
Morgana,3,9,16,11640,63212,0,1182
RekSai,10,8,1,12498,51699,0,989
Nami,2,8,10,10395,49114,0,989
Lissandra,11,4,8,9957,67491,1,683
MissFortune,7,3,7,9117,43337,1,683
Braum,3,8,12,7961,25891,0,816
Elise,7,7,3,11221,49008,0,816
Pyke,10,11,14,13724,46669,1,1245
Seraphine,5,12,9,13180,74895,1,1245
Ahri,9,4,14,17173,143775,1,1210
Pantheon,12,8,11,14687,70346,1,1210
Talon,5,12,5,8615,42578,0,874
Kayle,11,5,0,14365,125973,0,874
Kindred,4,6,2,7496,30755,0,714
Yorick,6,7,4,9499,50770,0,714
Karthus,2,9,20,11164,79070,1,953
Caitlyn,12,5,2,14617,139937,1,953
TahmKench,12,7,10,20182,101662,0,1968
Orianna,13,4,14,12690,71867,1,873
Viktor,5,10,4,19090,178444,1,1847
Chogath,7,9,7,20690,127138,1,1847
Garen,13,6,2,22282,223787,1,2020
Darius,4,8,14,19385,89461,1,2020
Malzahar,11,12,15,24723,260334,0,2357
Yorick,6,13,6,23208,176092,0,2357
Draven,2,6,0,7113,41766,0,961
Rell,1,5,2,6291,10853,0,961
Samira,9,8,4,20158,182246,0,1627
Rell,1,5,11,13716,19413,0,1627
Samira,18,14,8,23869,188755,1,2006
Thresh,4,10,18,21069,33838,1,2006
Samira,6,7,8,13780,79990,1,1282
TahmKench,12,2,11,14274,66140,1,1282
Samira,6,9,2,14494,124455,0,1264
Blitzcrank,1,7,7,13033,21507,0,1264
Ezreal,15,4,26,13362,95611,1,1047
Brand,9,13,27,11712,52659,1,1047
Samira,15,6,3,16528,161561,0,1524
Rell,2,8,16,14780,27720,0,1524
Samira,10,6,8,13015,130668,1,1659
Milio,2,3,18,8551,16777,1,1659
Maokai,3,13,25,13033,65573,1,1302
Zilean,5,8,35,14621,84429,1,1302
Zoe,10,14,48,16347,94353,1,1445
AurelionSol,11,15,48,15700,74219,1,1445
Blitzcrank,16,16,34,19620,90342,1,1739
Lucian,13,13,38,19156,94849,1,1739
TahmKench,3,3,1,6036,34973,0,914
Soraka,0,4,4,3800,10148,0,914
Samira,24,11,10,19369,228847,1,2069
Swain,3,14,13,9015,52122,1,2069
Samira,9,3,2,8463,63784,1,989
Maokai,4,2,10,6007,32229,1,989
Samira,23,7,11,21127,266246,1,2367
Nami,1,7,35,11036,38830,1,2367
Kayn,20,3,13,16755,343748,1,1743
Yuumi,5,0,29,10401,20523,1,1743
Samira,8,2,0,9194,62522,1,981
Nami,0,2,10,4906,16271,1,981
Samira,15,7,5,15540,173095,0,1760
Maokai,4,3,13,9368,33630,0,1760
Yasuo,11,11,9,18234,301654,1,2310
Yuumi,3,8,23,11226,31966,1,2310
Akshan,2,3,1,5507,59612,0,991
Yorick,1,4,0,4294,19572,0,991
Volibear,10,12,8,17022,370999,0,2470
Swain,3,13,20,12882,134783,0,2470
Rammus,4,5,20,13434,245672,1,2003
Malphite,6,6,3,9872,82657,0,1460
TahmKench,15,4,30,15700,138248,1,2041
Ziggs,12,4,11,14088,174927,1,1797
TahmKench,1,7,3,5289,18689,0,1233
TahmKench,5,3,8,8881,41259,1,982
TahmKench,5,1,10,7591,39931,1,967
TahmKench,8,3,13,11728,80325,1,1868
TahmKench,3,9,6,8328,43725,0,1677
Draven,18,11,9,24850,445285,1,2425
Pantheon,7,13,17,12896,63555,1,2425
Yone,7,3,4,12233,156711,1,1383
Swain,3,4,10,6904,30334,1,1383
Yorick,3,4,2,7976,74223,0,1117
Nunu,4,8,2,5965,42136,0,1117
Yorick,4,10,1,12235,149416,0,1748
Thresh,6,11,6,11829,136010,0,1748
Samira,2,8,3,7047,67391,0,1171
Mordekaiser,6,6,7,7374,48307,1,1091
Jhin,12,2,3,9780,96886,1,995
Jhin,21,5,7,17113,241912,1,1795
Thresh,4,3,23,10463,43183,1,1795
Jhin,22,10,9,22535,418939,1,2577
Brand,12,8,18,15788,129539,1,2577
Urgot,1,6,1,4312,34540,1,927
Jhin,7,3,5,7341,62090,1,927
Tryndamere,10,9,2,14476,207382,1,1681
Ziggs,6,5,7,12431,146471,1,1681
